enrollment_id,unique_object_count
1,95
3,99
4,29
5,111
6,16
7,86
9,38
12,36
13,100
16,70
18,45
22,49
28,24
30,6
31,40
32,13
35,39
39,37
45,113
46,1
49,95
50,24
54,1
58,100
60,33
65,29
67,44
68,34
71,81
73,22
74,53
75,79
78,49
81,51
82,39
83,14
86,60
87,32
90,67
92,1
93,15
94,29
96,40
97,20
98,42
101,47
102,1
104,77
106,10
107,28
109,12
111,18
112,72
114,5
119,80
120,80
121,38
122,52
123,68
129,41
130,25
131,4
132,8
134,29
135,30
138,55
140,6
141,59
142,70
143,2
144,87
146,62
148,61
149,8
150,14
151,81
156,6
159,79
160,22
161,41
162,38
166,61
167,73
170,36
172,55
173,76
174,27
175,12
176,36
180,45
182,53
186,39
189,68
190,66
192,91
193,7
196,42
198,71
199,136
200,6
201,56
204,23
208,17
209,49
214,68
219,101
221,59
222,15
223,2
227,69
228,42
230,1
231,82
233,40
234,61
235,31
239,38
241,39
242,43
244,58
245,14
248,2
250,89
251,55
252,53
254,26
255,78
256,6
258,34
261,46
262,2
264,21
266,59
267,27
268,65
269,54
270,28
272,9
277,29
278,50
279,54
280,2
281,1
284,99
288,25
293,19
294,11
297,55
298,63
301,72
302,65
307,38
309,66
310,30
311,52
313,73
314,30
315,1
316,13
317,38
319,49
320,1
321,39
323,73
324,50
325,19
327,75
329,45
332,26
334,55
335,57
338,7
339,48
340,21
341,73
343,7
345,87
346,62
351,58
352,86
353,2
354,38
355,43
357,42
358,7
361,39
364,58
366,38
367,9
370,12
371,54
373,71
375,53
377,25
382,65
386,30
393,11
394,63
396,55
398,29
399,74
400,26
402,62
406,53
407,28
410,8
412,35
420,1
424,25
425,34
426,51
431,47
433,61
435,37
436,50
438,11
441,55
442,57
444,71
445,19
446,30
447,2
448,36
450,43
451,56
454,27
458,56
459,39
460,35
461,45
463,1
464,78
466,23
467,56
469,59
471,43
474,8
480,46
482,49
484,47
486,28
490,52
491,24
493,98
496,29
500,1
501,6
509,39
511,18
512,49
514,37
515,91
516,66
517,71
518,17
520,5
522,83
523,77
525,6
526,93
530,55
532,53
533,30
534,17
535,42
536,28
541,71
543,25
545,22
546,52
547,37
548,10
550,19
553,10
555,2
556,56
562,9
566,29
576,57
579,22
580,50
581,47
582,72
587,41
588,55
590,8
591,46
592,32
598,40
599,48
600,31
602,36
603,1
611,36
612,46
613,35
614,12
616,9
617,26
620,10
621,15
625,59
627,17
629,32
633,42
634,61
636,34
639,81
643,19
644,13
646,20
650,33
654,41
658,49
659,38
662,52
667,1
668,5
673,30
676,26
677,80
682,41
683,18
687,28
689,10
692,66
697,40
699,14
701,33
704,54
705,8
707,44
711,72
712,5
714,38
715,37
717,58
718,48
719,5
721,1
722,6
724,2
725,17
728,48
730,68
731,1
734,45
736,55
738,37
740,54
742,51
744,8
745,7
746,34
749,85
750,37
753,4
756,1
757,76
760,31
761,64
763,49
769,43
773,10
774,72
775,49
777,103
778,59
780,100
781,32
783,29
785,8
789,56
792,17
793,1
796,2
799,51
800,11
803,11
804,2
806,32
809,66
810,31
815,41
818,7
820,22
822,1
824,22
830,6
835,63
837,46
838,1
839,4
840,68
841,1
845,1
850,2
852,72
854,1
858,56
860,38
861,20
862,56
863,47
865,57
868,28
871,27
873,1
875,45
877,7
878,40
882,54
884,90
885,82
887,56
888,14
890,25
891,32
893,11
899,54
900,7
903,74
904,8
906,58
907,41
917,43
919,13
922,55
923,37
924,51
925,25
930,16
933,68
936,58
937,79
938,12
939,49
941,53
942,1
945,58
946,20
950,9
951,55
952,1
953,39
954,45
955,62
956,1
958,24
960,6
962,12
964,41
965,70
966,8
967,40
970,48
971,41
974,24
976,71
978,56
984,35
985,62
987,63
988,66
989,28
991,20
992,16
996,24
997,41
999,5
1000,83
1001,63
1002,2
1008,28
1011,28
1018,62
1019,69
1020,70
1021,20
1022,18
1023,1
1028,77
1029,36
1037,39
1040,48
1041,59
1043,15
1044,35
1045,8
1049,16
1050,58
1052,1
1054,59
1056,29
1057,24
1058,41
1066,36
1069,40
1073,18
1074,39
1075,18
1076,33
1077,67
1082,15
1084,43
1085,59
1086,53
1087,31
1088,17
1089,58
1090,54
1091,62
1092,37
1095,72
1096,50
1098,43
1101,72
1107,3
1108,39
1110,28
1112,33
1116,76
1118,32
1124,36
1126,16
1128,54
1129,36
1131,18
1134,53
1135,40
1136,8
1137,81
1138,40
1139,48
1140,50
1141,35
1142,62
1143,30
1144,93
1149,30
1153,4
1154,26
1158,2
1162,19
1163,34
1167,67
1168,15
1169,78
1170,73
1172,37
1176,1
1177,1
1178,18
1179,40
1180,2
1183,28
1185,70
1186,13
1187,22
1188,11
1190,19
1191,26
1192,44
1195,51
1196,34
1199,2
1201,1
1202,37
1203,48
1204,3
1206,41
1212,56
1216,74
1222,13
1227,59
1228,21
1230,58
1233,8
1241,25
1244,10
1246,13
1248,55
1249,9
1250,12
1257,47
1258,59
1260,108
1263,54
1264,57
1268,35
1269,4
1270,37
1271,9
1273,1
1280,33
1281,72
1283,12
1284,24
1287,52
1292,59
1295,1
1296,23
1299,69
1301,48
1303,53
1308,53
1309,58
1310,54
1312,35
1315,70
1316,62
1318,26
1321,81
1322,20
1323,4
1328,20
1331,34
1337,45
1339,30
1341,25
1343,30
1344,28
1345,10
1348,1
1350,39
1351,55
1358,29
1364,51
1366,49
1367,7
1371,43
1372,55
1373,58
1376,29
1378,25
1379,44
1380,11
1386,37
1387,68
1389,26
1392,35
1397,46
1398,16
1401,36
1402,5
1404,56
1406,155
1407,31
1408,43
1410,54
1412,6
1414,73
1417,31
1418,1
1420,6
1423,80
1424,46
1425,21
1428,8
1429,113
1430,60
1431,2
1433,49
1437,74
1438,22
1440,63
1441,1
1443,54
1444,4
1450,75
1452,37
1453,14
1454,17
1455,75
1456,7
1457,35
1460,33
1462,13
1463,51
1464,15
1465,4
1466,52
1468,46
1473,82
1474,34
1477,36
1478,69
1480,3
1481,49
1484,31
1485,70
1488,2
1490,30
1491,86
1493,37
1494,73
1495,41
1497,27
1498,42
1499,48
1501,53
1503,31
1504,12
1506,34
1508,17
1509,70
1512,40
1513,71
1516,37
1518,12
1519,63
1521,102
1522,9
1524,17
1525,68
1529,56
1530,33
1532,1
1533,1
1535,22
1536,1
1537,29
1538,2
1542,58
1545,33
1546,43
1548,68
1549,2
1550,61
1551,54
1557,58
1558,26
1561,62
1562,4
1564,46
1565,10
1567,17
1569,62
1572,28
1573,39
1578,48
1579,26
1581,59
1582,34
1583,13
1585,39
1588,31
1592,32
1593,77
1594,47
1595,10
1601,12
1602,37
1604,44
1606,40
1607,5
1608,60
1609,42
1610,25
1612,23
1615,40
1616,60
1617,7
1620,39
1622,80
1627,29
1628,48
1629,12
1630,46
1631,37
1633,38
1634,60
1639,16
1640,72
1648,64
1649,39
1651,55
1652,47
1653,6
1654,15
1657,41
1662,39
1663,8
1668,15
1669,5
1672,1
1673,28
1674,17
1676,8
1677,87
1678,25
1679,21
1681,56
1685,1
1688,104
1690,31
1692,1
1694,40
1697,92
1698,14
1700,7
1703,2
1705,101
1707,55
1708,52
1711,27
1713,44
1715,15
1719,42
1720,35
1722,2
1724,1
1725,6
1730,11
1731,61
1732,10
1733,35
1734,31
1735,29
1736,34
1740,5
1745,39
1747,75
1749,8
1751,5
1752,63
1753,40
1754,40
1755,117
1757,38
1758,33
1760,12
1763,6
1764,39
1767,43
1770,5
1772,5
1776,7
1779,34
1780,43
1782,54
1788,45
1789,33
1790,29
1792,76
1793,18
1794,49
1795,47
1799,42
1800,72
1801,14
1803,9
1804,77
1805,17
1806,5
1811,7
1813,5
1816,1
1817,2
1818,14
1819,17
1821,6
1826,61
1828,7
1829,21
1830,10
1831,1
1832,17
1833,5
1835,9
1838,8
1842,8
1844,19
1845,5
1849,1
1852,8
1856,74
1859,29
1861,89
1862,29
1864,1
1865,18
1867,6
1869,1
1870,5
1872,5
1873,12
1874,1
1875,6
1876,1
1878,26
1879,38
1880,25
1882,5
1883,5
1886,11
1888,9
1891,27
1893,8
1894,80
1895,1
1899,81
1902,18
1903,91
1906,7
1910,79
1911,2
1913,8
1915,1
1917,1
1922,48
1923,77
1926,1
1929,8
1931,84
1932,47
1933,81
1934,8
1938,10
1940,7
1941,5
1945,10
1947,1
1948,8
1949,1
1950,9
1951,31
1952,8
1959,46
1960,15
1963,18
1964,46
1967,43
1970,80
1973,19
1974,19
1977,13
1979,29
1980,34
1981,83
1983,10
1986,26
1989,20
1990,22
1991,37
1995,30
1997,15
1998,33
2001,45
2003,25
2004,22
2005,39
2007,48
2008,14
2009,37
2010,31
2012,18
2019,107
2020,47
2023,5
2025,5
2026,23
2034,29
2037,37
2039,4
2040,28
2043,43
2045,20
2047,10
2048,5
2049,32
2050,7
2051,99
2052,24
2054,9
2055,26
2058,1
2059,35
2065,38
2066,1
2067,18
2069,34
2074,22
2076,22
2077,26
2079,23
2081,125
2085,33
2086,36
2088,28
2092,21
2094,25
2095,40
2097,36
2100,41
2102,5
2103,7
2104,108
2105,17
2109,68
2110,6
2113,9
2114,65
2116,22
2120,30
2124,26
2126,26
2128,34
2129,27
2131,32
2132,32
2137,22
2140,35
2144,20
2148,33
2152,19
2153,36
2155,10
2156,25
2161,1
2162,13
2166,1
2167,23
2168,27
2169,27
2170,28
2171,11
2173,34
2176,31
2178,72
2179,15
2181,23
2182,11
2184,10
2185,27
2186,19
2187,27
2190,1
2191,27
2192,32
2194,11
2195,34
2197,5
2198,8
2199,18
2201,74
2202,26
2206,2
2208,25
2209,103
2210,25
2213,61
2214,23
2215,18
2217,15
2219,16
2220,35
2222,31
2224,21
2225,26
2227,27
2228,22
2229,14
2230,28
2232,42
2233,7
2234,10
2235,28
2236,143
2239,29
2240,10
2241,109
2242,15
2245,27
2246,31
2248,3
2249,10
2251,67
2255,24
2257,21
2258,16
2259,29
2260,33
2261,27
2263,22
2264,23
2265,36
2273,32
2281,33
2283,13
2284,27
2285,23
2287,113
2288,25
2291,38
2292,28
2294,25
2295,27
2296,4
2297,31
2299,2
2300,21
2301,18
2307,7
2308,29
2309,71
2313,6
2317,27
2319,37
2321,6
2331,30
2332,29
2334,14
2335,27
2341,2
2342,21
2344,15
2354,8
2358,27
2359,24
2361,1
2362,23
2364,1
2368,22
2370,5
2372,29
2375,30
2379,26
2386,32
2394,2
2397,27
2399,28
2401,35
2402,8
2403,12
2411,24
2415,9
2416,16
2417,11
2418,26
2420,11
2425,7
2428,5
2429,8
2430,5
2432,32
2434,13
2436,1
2439,29
2440,111
2441,22
2445,37
2448,38
2449,9
2454,31
2455,1
2458,33
2459,36
2460,35
2464,15
2468,9
2470,28
2474,25
2475,98
2476,25
2479,16
2481,26
2484,27
2485,43
2487,9
2488,18
2490,25
2492,10
2495,5
2496,39
2500,8
2503,30
2504,26
2505,6
2507,11
2508,31
2509,22
2514,18
2517,14
2520,34
2521,42
2522,12
2523,11
2524,27
2525,35
2527,7
2528,81
2530,28
2533,12
2534,95
2535,23
2537,1
2542,1
2544,20
2545,39
2546,11
2547,26
2548,20
2549,11
2552,20
2554,35
2555,42
2556,5
2557,21
2559,1
2560,39
2564,3
2566,38
2569,28
2570,26
2573,37
2576,72
2578,24
2579,72
2580,28
2582,7
2583,41
2587,22
2588,34
2589,25
2590,30
2591,8
2595,9
2597,31
2598,38
2599,13
2603,73
2608,25
2610,46
2611,31
2613,20
2615,124
2621,20
2622,25
2623,27
2624,20
2627,31
2628,6
2629,14
2631,8
2632,5
2634,30
2636,86
2637,7
2638,21
2639,27
2641,34
2643,101
2644,21
2645,26
2647,13
2648,38
2650,11
2651,38
2652,76
2656,8
2657,10
2659,31
2662,7
2663,7
2666,34
2669,8
2673,12
2674,30
2677,42
2682,24
2683,22
2684,11
2688,26
2689,1
2692,16
2694,28
2695,17
2696,15
2702,42
2703,51
2704,28
2707,8
2716,15
2718,19
2719,26
2720,26
2721,25
2724,28
2725,34
2726,30
2727,90
2730,1
2734,21
2737,28
2741,25
2743,25
2745,14
2750,26
2751,44
2752,10
2757,6
2758,43
2760,19
2761,14
2764,15
2766,12
2767,37
2768,30
2772,25
2774,25
2775,6
2776,30
2777,15
2779,1
2783,2
2786,14
2787,25
2791,32
2792,22
2793,4
2794,7
2799,4
2800,27
2801,23
2807,26
2808,21
2809,7
2811,21
2813,2
2820,32
2821,17
2825,33
2829,18
2830,1
2833,8
2835,5
2836,11
2838,1
2842,21
2843,77
2844,26
2845,6
2846,18
2848,1
2849,34
2853,24
2856,13
2859,23
2861,29
2865,47
2868,20
2869,28
2870,8
2871,33
2872,43
2876,28
2880,25
2882,20
2883,53
2884,17
2885,26
2887,22
2889,21
2890,7
2891,58
2893,22
2894,5
2899,45
2901,54
2907,1
2909,4
2911,1
2913,34
2915,46
2916,36
2919,24
2922,11
2923,63
2924,16
2925,7
2926,22
2927,25
2928,12
2929,4
2934,31
2935,8
2937,17
2939,7
2941,30
2942,13
2943,22
2944,77
2945,14
2946,19
2949,26
2951,29
2952,1
2954,2
2956,6
2957,25
2964,9
2967,15
2969,6
2978,34
2979,110
2980,38
2982,24
2985,30
2986,28
2987,27
2990,26
2991,21
2996,19
2998,8
3000,5
3001,15
3004,86
3006,30
3007,95
3012,13
3013,27
3014,26
3016,9
3020,46
3022,23
3024,23
3025,133
3026,36
3029,28
3033,116
3035,15
3036,26
3039,27
3040,82
3042,47
3043,31
3044,22
3045,6
3046,20
3048,5
3052,28
3053,24
3055,48
3056,9
3058,26
3059,24
3062,27
3063,6
3064,21
3065,31
3070,3
3071,44
3072,27
3073,17
3075,6
3077,20
3079,10
3080,33
3081,32
3082,18
3085,22
3089,36
3090,38
3094,26
3095,44
3096,32
3097,29
3101,32
3104,29
3107,6
3110,50
3113,31
3115,31
3118,48
3120,30
3121,2
3122,31
3123,7
3124,5
3125,29
3127,1
3129,28
3130,29
3131,22
3132,38
3134,9
3135,2
3136,7
3138,35
3140,42
3141,34
3142,27
3143,27
3144,18
3145,15
3146,10
3147,27
3149,28
3150,34
3151,26
3153,9
3156,13
3157,30
3159,33
3162,12
3163,6
3164,32
3167,23
3168,104
3169,25
3170,6
3172,12
3173,30
3174,2
3175,11
3176,14
3177,30
3179,17
3181,71
3185,6
3189,34
3192,24
3195,4
3196,20
3198,6
3200,4
3201,54
3202,4
3206,53
3207,2
3209,25
3212,26
3215,1
3216,2
3217,34
3220,22
3221,10
3223,11
3224,45
3225,6
3228,11
3230,32
3231,43
3232,73
3233,1
3235,6
3236,22
3237,41
3239,29
3240,28
3241,12
3243,7
3245,29
3246,89
3249,19
3251,27
3256,36
3257,14
3262,4
3263,24
3264,13
3266,33
3270,11
3272,20
3273,33
3274,6
3275,11
3277,6
3278,9
3280,33
3281,50
3282,9
3283,28
3287,102
3289,8
3290,17
3291,30
3295,44
3296,24
3298,14
3300,61
3305,28
3307,26
3308,8
3311,96
3312,25
3313,23
3315,8
3316,14
3317,34
3318,1
3319,24
3320,22
3323,1
3325,10
3326,60
3327,6
3332,20
3335,25
3343,15
3344,40
3346,22
3347,29
3348,32
3350,28
3351,39
3352,54
3358,2
3360,32
3363,22
3364,2
3366,6
3368,11
3369,30
3370,27
3371,10
3372,32
3375,30
3377,10
3378,20
3381,8
3382,27
3384,21
3387,15
3393,17
3394,1
3396,9
3397,11
3398,17
3399,28
3401,17
3402,28
3404,26
3405,10
3406,1
3408,11
3409,11
3411,20
3413,30
3415,42
3416,71
3419,108
3428,5
3429,19
3430,18
3433,22
3438,4
3440,89
3441,36
3442,30
3446,16
3451,2
3452,5
3454,73
3455,23
3459,20
3461,8
3463,17
3464,28
3465,9
3466,21
3467,25
3468,34
3469,5
3473,27
3475,8
3476,13
3482,2
3488,51
3489,1
3494,8
3498,28
3499,32
3500,29
3504,16
3505,31
3506,12
3507,23
3508,5
3511,11
3514,28
3516,6
3517,5
3518,24
3519,12
3520,7
3521,11
3523,12
3525,37
3527,27
3528,2
3529,37
3531,2
3534,18
3535,28
3537,2
3541,29
3542,16
3543,1
3545,2
3546,32
3547,24
3554,13
3555,31
3557,23
3558,23
3559,49
3561,57
3563,25
3564,11
3565,11
3567,35
3568,8
3569,1
3570,8
3571,27
3573,10
3574,38
3575,13
3576,24
3577,5
3578,7
3580,12
3581,18
3582,26
3583,31
3584,31
3589,25
3592,21
3593,34
3595,44
3599,35
3600,22
3601,8
3602,28
3605,18
3607,27
3608,29
3609,1
3613,6
3616,33
3619,30
3621,1
3625,5
3628,30
3629,5
3630,9
3631,34
3632,22
3633,9
3635,1
3636,23
3639,31
3641,30
3643,36
3644,19
3645,15
3646,134
3647,88
3648,63
3651,30
3654,19
3656,40
3658,1
3659,26
3660,7
3661,20
3663,9
3667,23
3671,30
3672,26
3677,25
3679,28
3682,1
3683,17
3687,19
3690,20
3697,13
3700,29
3701,39
3703,20
3709,36
3710,23
3712,14
3713,18
3716,17
3718,9
3719,9
3720,14
3722,21
3726,25
3727,35
3728,15
3730,26
3731,9
3735,10
3738,12
3739,31
3741,11
3742,26
3743,1
3746,20
3749,30
3751,8
3752,25
3755,27
3757,3
3759,27
3762,31
3763,37
3764,33
3766,8
3770,11
3771,37
3777,32
3778,20
3780,28
3781,23
3782,13
3783,27
3791,12
3792,28
3793,103
3796,18
3800,29
3803,23
3805,51
3814,19
3815,28
3817,79
3818,10
3820,18
3821,10
3823,24
3825,26
3826,12
3827,25
3828,25
3832,21
3833,23
3836,27
3838,11
3839,6
3840,11
3848,4
3850,5
3851,40
3852,36
3853,44
3855,9
3856,12
3857,34
3858,30
3859,4
3862,28
3868,5
3869,24
3871,6
3873,33
3875,25
3876,1
3886,21
3888,16
3890,27
3892,7
3893,9
3894,27
3896,1
3899,29
3901,12
3904,1
3906,31
3908,33
3910,5
3912,35
3913,7
3919,27
3920,17
3924,8
3926,111
3927,66
3929,31
3932,13
3933,8
3936,25
3937,43
3943,14
3946,105
3947,38
3950,34
3951,20
3952,9
3953,35
3954,16
3955,1
3957,30
3959,26
3961,27
3964,11
3966,28
3967,47
3968,27
3970,16
3973,21
3974,24
3975,1
3976,9
3982,12
3986,46
3987,8
3988,2
3989,8
3990,9
3991,34
3992,9
3993,10
3994,43
3995,11
4002,9
4005,8
4006,11
4010,5
4013,9
4014,5
4015,1
4016,30
4017,12
4019,27
4021,15
4022,10
4024,62
4026,19
4028,1
4029,6
4030,9
4035,1
4036,5
4039,24
4040,7
4042,15
4044,7
4046,9
4052,6
4054,13
4056,12
4060,6
4061,8
4062,12
4064,21
4065,8
4066,5
4070,45
4071,24
4072,51
4081,10
4084,4
4088,4
4090,8
4095,66
4101,7
4103,7
4105,39
4106,6
4112,12
4113,1
4114,12
4116,5
4117,15
4121,6
4122,30
4124,9
4126,12
4127,37
4129,17
4134,10
4135,4
4137,16
4138,9
4140,8
4141,7
4143,44
4145,7
4146,9
4147,5
4148,9
4149,6
4150,26
4152,4
4155,13
4157,11
4160,6
4161,5
4162,3
4163,12
4168,10
4170,8
4171,43
4172,84
4173,24
4174,29
4176,180
4179,29
4182,24
4183,42
4185,74
4187,20
4194,9
4196,53
4197,59
4200,44
4204,24
4208,82
4211,3
4213,172
4214,28
4218,33
4219,11
4220,48
4221,29
4222,48
4223,6
4225,81
4226,18
4228,37
4230,39
4231,102
4233,53
4234,12
4236,46
4237,32
4241,126
4243,71
4244,11
4247,79
4250,34
4253,82
4254,35
4255,48
4258,29
4266,63
4268,28
4270,27
4273,30
4274,31
4276,76
4277,98
4278,54
4280,8
4283,4
4284,29
4286,19
4288,25
4290,14
4291,18
4292,16
4295,1
4296,37
4299,162
4300,58
4301,13
4302,19
4303,169
4304,118
4305,1
4311,1
4313,34
4316,40
4321,144
4322,16
4323,16
4324,99
4326,120
4327,33
4328,14
4329,6
4332,8
4333,144
4334,8
4338,5
4340,37
4342,77
4345,33
4352,32
4353,44
4354,116
4355,127
4358,1
4359,75
4361,7
4364,5
4365,105
4366,97
4375,98
4382,17
4384,45
4386,49
4390,51
4391,152
4392,43
4393,30
4394,28
4395,30
4396,65
4401,31
4402,8
4404,14
4406,46
4407,13
4408,29
4414,141
4415,80
4416,31
4418,46
4419,13
4422,15
4425,17
4426,73
4428,22
4430,6
4431,47
4432,45
4435,42
4439,93
4441,39
4443,9
4444,87
4448,3
4449,122
4450,88
4453,37
4454,49
4459,64
4461,47
4462,135
4469,101
4472,2
4473,1
4475,145
4476,22
4477,149
4479,35
4481,125
4482,25
4489,72
4493,62
4495,21
4496,162
4498,88
4499,17
4500,2
4506,136
4507,53
4508,55
4509,7
4511,49
4516,31
4521,22
4524,61
4525,53
4527,22
4528,17
4531,5
4532,54
4534,27
4536,5
4539,17
4542,16
4543,2
4544,84
4545,47
4546,28
4547,4
4548,35
4550,52
4552,65
4553,79
4556,5
4560,18
4564,28
4565,50
4566,39
4568,1
4570,17
4571,54
4574,18
4575,51
4578,7
4579,150
4581,18
4582,134
4583,72
4584,171
4585,32
4588,63
4591,5
4592,125
4596,43
4602,15
4606,44
4610,29
4611,6
4612,4
4613,63
4614,23
4617,16
4619,1
4620,8
4622,73
4623,111
4626,33
4627,57
4629,1
4630,117
4631,13
4633,5
4634,92
4635,15
4637,33
4638,162
4641,38
4643,91
4644,60
4646,22
4647,39
4652,8
4655,21
4656,47
4657,54
4658,65
4659,84
4663,52
4664,47
4669,81
4672,87
4673,17
4677,50
4680,128
4683,210
4684,12
4685,2
4687,96
4690,39
4691,1
4693,180
4695,54
4697,9
4700,26
4702,12
4704,95
4705,44
4711,43
4713,83
4717,15
4720,1
4721,17
4722,36
4724,37
4727,7
4729,27
4730,31
4731,27
4732,69
4733,71
4734,8
4735,8
4737,54
4738,5
4740,1
4741,14
4744,34
4745,28
4746,182
4747,43
4749,2
4751,151
4753,7
4755,36
4756,1
4758,45
4760,37
4762,70
4763,28
4767,14
4768,6
4772,1
4773,11
4774,33
4775,19
4776,18
4780,1
4782,33
4783,2
4786,44
4788,111
4790,23
4791,36
4793,62
4797,7
4798,51
4801,50
4803,166
4805,31
4806,170
4807,83
4808,160
4813,5
4815,133
4819,23
4825,42
4830,38
4831,85
4832,15
4835,28
4836,13
4839,130
4840,146
4842,39
4843,8
4844,7
4845,53
4846,1
4848,13
4851,1
4852,20
4854,15
4855,18
4856,1
4858,104
4859,6
4860,107
4863,37
4864,62
4865,12
4867,8
4868,25
4869,66
4876,11
4877,94
4878,94
4879,8
4880,23
4884,4
4886,35
4888,50
4889,19
4890,40
4892,128
4893,54
4895,91
4897,182
4899,116
4900,61
4901,9
4903,44
4905,56
4907,53
4908,2
4910,47
4911,67
4913,81
4914,6
4915,105
4916,1
4919,16
4920,15
4922,12
4924,2
4926,39
4927,30
4930,20
4931,107
4934,16
4936,150
4938,23
4939,2
4941,1
4943,43
4947,8
4948,7
4951,104
4955,45
4956,61
4960,10
4961,83
4962,41
4963,116
4965,156
4966,10
4967,9
4971,50
4973,180
4975,148
4976,290
4978,10
4979,10
4982,55
4984,36
4985,2
4987,7
4988,2
4989,102
4990,14
4993,56
4994,127
4995,7
4997,132
5002,24
5003,29
5005,63
5006,69
5007,68
5011,32
5014,1
5017,51
5018,18
5019,165
5023,45
5026,10
5027,28
5029,5
5030,5
5032,8
5033,20
5035,32
5038,82
5039,1
5040,69
5042,21
5045,2
5047,57
5049,1
5050,94
5051,51
5052,1
5056,79
5057,69
5063,31
5064,22
5074,19
5076,13
5077,31
5080,36
5083,108
5085,18
5086,130
5088,53
5092,32
5094,6
5095,21
5098,6
5099,1
5100,12
5105,42
5106,22
5108,76
5110,18
5112,58
5114,56
5115,100
5116,30
5117,31
5123,5
5125,1
5127,63
5129,12
5134,9
5136,12
5141,5
5144,114
5145,128
5147,9
5148,42
5150,54
5151,27
5155,61
5157,42
5158,99
5159,154
5160,10
5163,20
5164,89
5165,20
5167,19
5168,39
5170,50
5171,37
5172,2
5174,3
5175,4
5176,4
5178,24
5179,88
5180,189
5182,25
5185,24
5191,29
5197,26
5199,5
5201,16
5203,80
5204,12
5206,4
5208,9
5209,7
5210,6
5212,27
5213,19
5214,97
5216,11
5218,126
5219,55
5222,98
5223,16
5225,16
5226,40
5227,123
5231,16
5235,10
5237,6
5238,1
5239,1
5241,24
5243,6
5246,108
5248,5
5249,29
5253,11
5254,29
5255,40
5257,12
5260,11
5262,30
5264,31
5267,67
5271,41
5272,6
5273,4
5275,1
5278,52
5280,20
5282,33
5284,70
5290,132
5291,189
5292,26
5293,25
5294,1
5295,62
5296,9
5298,34
5300,72
5302,106
5313,32
5314,5
5316,45
5317,8
5318,10
5321,13
5323,14
5324,58
5328,82
5329,127
5330,2
5331,19
5334,27
5335,102
5336,54
5337,58
5338,103
5339,136
5343,43
5350,57
5352,1
5353,23
5358,46
5360,10
5362,5
5365,134
5367,3
5368,12
5369,61
5370,18
5372,2
5374,2
5375,43
5381,1
5382,31
5383,28
5385,16
5386,5
5398,82
5400,159
5402,60
5404,16
5405,64
5411,24
5413,59
5415,33
5416,98
5417,2
5419,8
5422,28
5425,57
5427,108
5428,56
5429,10
5430,23
5431,1
5433,1
5435,11
5439,6
5440,21
5449,108
5451,23
5453,6
5455,5
5460,37
5463,146
5467,16
5470,30
5471,56
5475,24
5476,2
5477,30
5478,125
5480,113
5481,37
5482,108
5483,42
5484,9
5485,58
5494,101
5495,63
5496,14
5497,174
5501,14
5502,8
5503,14
5505,53
5507,5
5509,1
5512,53
5513,26
5514,8
5518,4
5520,22
5523,3
5524,35
5525,43
5528,80
5529,60
5530,26
5532,8
5533,5
5534,1
5536,80
5537,120
5539,28
5542,61
5543,16
5544,11
5545,43
5547,59
5551,1
5552,182
5555,63
5556,13
5559,74
5560,43
5562,5
5565,5
5571,39
5575,84
5576,131
5577,14
5578,44
5579,10
5581,4
5584,25
5585,7
5588,1
5593,26
5594,3
5595,27
5597,101
5598,29
5599,2
5600,21
5602,92
5603,33
5604,97
5606,7
5611,1
5612,32
5613,55
5616,33
5617,27
5622,62
5627,158
5629,118
5630,22
5631,202
5633,43
5635,6
5637,63
5638,132
5639,48
5640,19
5641,17
5644,74
5649,8
5651,89
5652,4
5654,7
5655,7
5656,46
5657,35
5659,27
5660,42
5661,84
5663,4
5664,12
5665,35
5671,45
5672,5
5675,13
5676,9
5677,52
5678,25
5681,8
5683,7
5684,72
5686,15
5687,24
5688,19
5691,64
5693,128
5695,70
5696,8
5700,19
5703,67
5704,7
5705,8
5707,124
5708,23
5709,16
5710,44
5712,66
5717,11
5719,50
5720,4
5721,47
5724,6
5728,7
5730,13
5732,6
5733,1
5734,1
5735,15
5736,66
5737,1
5739,2
5740,36
5746,36
5748,60
5749,22
5751,15
5754,1
5756,73
5759,27
5760,95
5763,22
5766,5
5767,104
5770,28
5773,1
5774,110
5786,8
5788,31
5789,16
5790,94
5794,54
5795,12
5799,1
5801,8
5802,5
5803,39
5804,9
5805,20
5807,5
5811,55
5812,1
5816,8
5819,1
5821,39
5822,27
5823,25
5826,34
5828,45
5829,39
5831,1
5834,49
5836,45
5839,20
5845,7
5846,78
5848,4
5852,5
5853,9
5854,43
5855,29
5860,16
5861,22
5862,95
5864,109
5865,14
5871,38
5872,110
5873,5
5874,12
5876,6
5879,9
5880,37
5881,64
5882,134
5883,57
5886,3
5887,54
