enrollment_id,unique_user_object_count
1,301
3,193
4,62
5,111
6,16
7,195
9,38
12,36
13,177
16,109
18,45
22,236
28,85
30,6
31,41
32,62
35,68
39,37
45,113
46,1
49,211
50,73
54,1
58,230
60,37
65,29
67,44
68,34
71,81
73,22
74,61
75,79
78,49
81,89
82,39
83,22
86,60
87,51
90,133
92,1
93,26
94,29
96,211
97,20
98,54
101,66
102,1
104,103
106,10
107,28
109,12
111,18
112,94
114,30
119,80
120,224
121,38
122,52
123,68
129,41
130,25
131,4
132,11
134,42
135,52
138,136
140,6
141,59
142,71
143,2
144,87
146,62
148,194
149,21
150,14
151,136
156,20
159,81
160,51
161,41
162,38
166,69
167,73
170,36
172,63
173,84
174,86
175,18
176,36
180,46
182,53
186,57
189,68
190,224
192,91
193,45
196,42
198,71
199,137
200,45
201,56
204,23
208,17
209,49
214,261
219,152
221,59
222,30
223,2
227,69
228,117
230,2
231,82
233,209
234,61
235,31
239,38
241,39
242,43
244,58
245,31
248,2
250,89
251,55
252,53
254,26
255,104
256,18
258,89
261,46
262,2
264,21
266,121
267,27
268,65
269,100
270,55
272,9
277,42
278,86
279,54
280,2
281,1
284,238
288,31
293,19
294,122
297,55
298,63
301,72
302,65
307,89
309,80
310,44
311,80
313,73
314,31
315,34
316,13
317,38
319,49
320,1
321,39
323,86
324,50
325,19
327,75
329,120
332,64
334,327
335,57
338,18
339,48
340,31
341,73
343,7
345,122
346,62
351,192
352,86
353,2
354,38
355,43
357,46
358,14
361,39
364,58
366,38
367,9
370,12
371,62
373,71
375,53
377,25
382,66
386,30
393,11
394,63
396,55
398,29
399,74
400,55
402,62
406,53
407,28
410,8
412,35
420,1
424,25
425,243
426,51
431,119
433,135
435,45
436,50
438,11
441,55
442,57
444,71
445,19
446,30
447,2
448,54
450,43
451,56
454,27
458,56
459,39
460,45
461,190
463,1
464,99
466,23
467,132
469,90
471,43
474,8
480,46
482,50
484,47
486,28
490,52
491,82
493,273
496,29
500,1
501,6
509,39
511,18
512,70
514,37
515,92
516,74
517,71
518,24
520,64
522,112
523,77
525,8
526,205
530,55
532,117
533,30
534,17
535,155
536,28
541,71
543,25
545,22
546,52
547,37
548,10
550,19
553,10
555,2
556,56
562,12
566,29
576,57
579,22
580,50
581,47
582,72
587,41
588,55
590,8
591,49
592,32
598,40
599,58
600,31
602,36
603,1
611,36
612,46
613,35
614,12
616,49
617,26
620,10
621,15
625,59
627,17
629,32
633,42
634,62
636,40
639,244
643,36
644,13
646,63
650,33
654,41
658,49
659,74
662,159
667,1
668,5
673,30
676,26
677,93
682,41
683,105
687,44
689,10
692,117
697,293
699,14
701,33
704,55
705,8
707,62
711,72
712,5
714,75
715,75
717,58
718,48
719,5
721,16
722,6
724,2
725,17
728,48
730,69
731,1
734,45
736,55
738,41
740,54
742,51
744,8
745,7
746,54
749,85
750,37
753,4
756,77
757,77
760,90
761,121
763,77
769,43
773,10
774,72
775,49
777,112
778,85
780,101
781,32
783,30
785,9
789,56
792,17
793,1
796,2
799,66
800,11
803,65
804,4
806,32
809,66
810,31
815,48
818,20
820,76
822,90
824,22
830,6
835,112
837,119
838,1
839,4
840,68
841,1
845,1
850,2
852,73
854,1
858,62
860,38
861,20
862,56
863,48
865,68
868,28
871,27
873,1
875,47
877,48
878,40
882,54
884,90
885,83
887,100
888,14
890,25
891,150
893,11
899,54
900,7
903,116
904,8
906,58
907,41
917,43
919,13
922,77
923,89
924,51
925,25
930,16
933,68
936,150
937,327
938,22
939,49
941,53
942,146
945,101
946,179
950,9
951,55
952,66
953,267
954,267
955,62
956,48
958,24
960,66
962,12
964,41
965,71
966,12
967,103
970,307
971,42
974,24
976,71
978,56
984,35
985,62
987,520
988,66
989,78
991,27
992,21
996,47
997,41
999,5
1000,134
1001,72
1002,2
1008,238
1011,28
1018,62
1019,69
1020,70
1021,36
1022,18
1023,5
1028,83
1029,36
1037,39
1040,80
1041,65
1043,15
1044,35
1045,9
1049,21
1050,58
1052,9
1054,103
1056,47
1057,24
1058,41
1066,36
1069,40
1073,18
1074,39
1075,64
1076,33
1077,67
1082,38
1084,43
1085,59
1086,53
1087,31
1088,17
1089,109
1090,54
1091,63
1092,37
1095,72
1096,219
1098,43
1101,72
1107,3
1108,39
1110,28
1112,62
1116,76
1118,32
1124,144
1126,16
1128,54
1129,36
1131,18
1134,87
1135,40
1136,26
1137,81
1138,49
1139,48
1140,50
1141,35
1142,62
1143,30
1144,98
1149,30
1153,43
1154,26
1158,2
1162,19
1163,43
1167,68
1168,88
1169,79
1170,73
1172,37
1176,2
1177,2
1178,18
1179,40
1180,2
1183,28
1185,70
1186,13
1187,27
1188,19
1190,100
1191,95
1192,67
1195,51
1196,475
1199,15
1201,1
1202,37
1203,128
1204,3
1206,74
1212,87
1216,117
1222,21
1227,69
1228,41
1230,77
1233,8
1241,46
1244,10
1246,13
1248,145
1249,9
1250,12
1257,124
1258,59
1260,116
1263,54
1264,57
1268,35
1269,8
1270,49
1271,15
1273,6
1280,33
1281,236
1283,12
1284,24
1287,82
1292,59
1295,116
1296,55
1299,69
1301,48
1303,53
1308,53
1309,58
1310,54
1312,41
1315,70
1316,104
1318,26
1321,85
1322,56
1323,4
1328,20
1331,34
1337,60
1339,52
1341,25
1343,30
1344,28
1345,10
1348,1
1350,39
1351,55
1358,29
1364,51
1366,108
1367,65
1371,138
1372,56
1373,58
1376,40
1378,27
1379,65
1380,46
