Id,first_day,second_day,third_day,forth_day,fifth_day,sixth_day,seventh_day
1,24,13,7,15,57,28,170
3,115,64,36,0,15,10,48
4,21,20,0,40,7,0,11
5,33,152,192,32,142,77,5
6,21,2,0,0,0,0,0
7,160,23,125,51,0,57,63
9,35,19,32,11,0,0,0
12,27,37,22,0,0,8,33
13,146,47,47,49,0,125,49
16,50,171,46,27,4,0,38
18,28,16,38,47,19,0,5
22,106,99,0,0,0,0,0
28,28,13,45,0,0,19,0
30,9,0,1,0,0,0,0
31,26,63,23,31,31,53,13
32,45,13,9,6,0,0,0
35,135,1,0,12,35,37,10
39,65,56,25,49,21,21,0
45,87,89,160,26,270,136,27
46,1,0,0,0,0,0,0
49,488,306,209,257,263,214,368
50,4,21,6,19,0,42,34
54,1,0,0,0,0,0,0
58,49,113,208,10,36,131,42
60,57,0,7,1,78,9,0
65,15,0,35,29,4,7,0
67,110,36,68,16,0,0,15
68,24,0,0,28,10,6,54
71,12,30,119,68,69,90,61
73,15,94,6,31,0,0,0
74,76,0,0,113,51,56,51
75,66,76,208,14,12,13,22
78,6,38,13,10,0,163,29
81,16,6,28,73,5,44,105
82,45,26,3,1,0,88,66
83,7,14,20,11,2,0,0
86,111,13,11,59,10,9,18
87,36,75,140,6,0,0,0
90,40,0,0,31,48,174,22
92,1,0,0,0,0,0,0
93,12,14,0,6,0,0,0
94,44,30,5,16,19,33,0
96,11,0,39,26,9,37,69
97,35,2,0,0,0,0,0
98,115,4,27,22,22,4,0
101,53,0,24,25,0,113,5
102,1,0,0,0,0,0,0
104,37,53,54,68,36,38,86
106,19,2,2,1,0,1,1
107,109,0,0,0,0,0,36
109,6,29,0,0,0,0,0
111,25,14,0,0,10,0,0
112,214,4,0,22,64,54,52
114,7,0,0,0,0,0,0
119,282,76,45,0,30,0,0
120,73,0,1110,79,86,0,81
121,63,39,7,48,0,8,9
122,79,10,22,86,7,4,0
123,40,169,33,48,0,0,11
129,31,0,95,17,12,0,0
130,41,6,48,0,0,0,0
131,5,0,0,0,0,0,0
132,10,0,0,0,0,1,0
134,14,0,0,0,4,0,62
135,3,26,4,18,64,81,32
138,86,27,0,68,0,0,75
140,14,2,0,4,6,7,6
141,152,21,2,56,106,0,0
142,26,7,39,53,134,0,0
143,2,0,0,0,0,0,0
144,312,44,0,5,0,23,10
146,60,78,56,0,0,30,58
148,137,51,83,88,80,84,0
149,19,0,0,0,0,0,0
150,39,0,0,0,0,0,14
151,153,14,0,116,8,136,24
156,2,7,0,0,0,0,0
159,197,130,25,8,107,71,20
160,40,37,0,0,0,0,0
161,44,6,105,20,49,0,33
162,43,0,79,0,0,16,18
166,50,57,26,7,17,103,107
167,183,52,79,48,0,0,0
170,28,29,10,0,67,32,5
172,138,58,40,73,33,49,0
173,77,20,9,80,187,51,61
174,10,8,59,0,1,18,0
175,30,0,0,0,0,0,0
176,32,0,8,51,15,17,10
180,52,11,103,31,0,8,11
182,205,57,6,16,21,0,16
186,121,23,19,0,0,0,0
189,167,275,0,0,24,0,68
190,46,38,0,95,0,12,70
192,84,13,81,251,3,25,6
193,11,0,1,0,0,0,0
196,25,0,35,0,0,0,84
198,38,13,21,108,48,9,18
199,37,178,329,128,321,0,21
200,7,0,11,0,0,0,0
201,8,0,133,13,7,15,42
204,31,0,0,17,33,0,0
208,8,16,0,0,16,0,1
209,20,20,6,5,0,58,56
214,52,7,7,0,43,89,9
219,511,424,36,246,194,144,406
221,36,42,24,38,19,32,11
222,8,0,14,18,0,13,4
223,2,0,0,0,0,0,0
227,51,39,0,0,110,77,18
228,51,64,96,202,30,4,16
230,1,0,0,0,0,0,0
231,121,28,58,0,0,89,0
233,57,0,0,38,5,15,12
234,13,80,95,1,0,17,0
235,76,37,12,13,10,12,5
239,43,18,18,33,34,17,12
241,6,8,0,23,40,40,0
242,54,19,57,5,26,55,59
244,123,54,0,0,0,9,69
245,10,0,2,2,13,28,0
248,4,0,0,0,0,0,0
250,75,68,26,32,146,0,0
251,56,0,9,26,52,25,0
252,95,54,0,57,1,35,0
254,3,13,0,0,0,0,40
255,47,84,61,26,50,103,43
256,9,0,0,0,0,0,0
258,75,0,0,0,0,0,20
261,30,79,16,18,19,0,6
262,3,0,0,0,0,0,0
264,34,0,0,0,0,0,0
266,307,24,28,14,17,0,1
267,14,67,42,0,0,0,0
268,19,5,39,37,43,141,10
269,43,23,58,36,23,48,6
270,4,35,13,2,36,9,21
272,5,3,14,19,80,35,8
277,102,0,0,6,2,21,0
278,18,52,0,0,0,0,120
