enrollment_id,problem_within_30_40
1,1
3,0
4,1
5,0
6,1
7,0
9,1
12,1
13,1
16,1
18,1
22,1
28,1
30,1
31,1
32,1
35,1
39,1
45,1
46,0
49,0
50,0
54,1
58,0
60,1
65,1
67,1
68,1
71,1
73,1
74,1
75,1
78,1
81,1
82,1
83,1
86,1
87,1
90,1
92,1
93,1
94,1
96,0
97,0
98,1
101,1
102,1
104,1
106,1
107,1
109,1
111,1
112,1
114,1
119,1
120,1
121,1
122,1
123,1
129,1
130,1
131,1
132,0
134,0
135,1
138,1
140,1
141,0
142,1
143,1
144,0
146,1
148,1
149,1
150,1
151,1
156,0
159,1
160,1
161,1
162,1
166,1
167,1
170,1
172,1
173,1
174,1
175,1
176,1
180,1
182,1
186,1
189,1
190,1
192,1
193,0
196,1
198,1
199,1
200,1
201,1
204,1
208,1
209,1
214,1
219,0
221,1
222,1
223,0
227,1
228,0
230,0
231,1
233,1
234,1
235,1
239,1
241,1
242,1
244,1
245,1
248,0
250,1
251,1
252,1
254,1
255,1
256,1
258,1
261,1
262,1
264,1
266,0
267,1
268,1
269,1
270,1
272,1
277,1
278,1
279,1
280,1
281,1
284,0
288,1
293,1
294,1
297,1
298,1
301,1
302,1
307,1
309,1
310,1
311,1
313,1
314,1
315,1
316,1
317,1
319,1
320,0
321,1
323,1
324,1
325,1
327,1
329,0
332,1
334,1
335,1
338,0
339,1
340,1
341,1
343,1
345,1
346,1
351,1
352,1
353,1
354,1
355,1
357,1
358,1
361,1
364,1
366,1
367,1
370,1
371,1
373,1
375,1
377,1
382,1
386,1
393,1
394,1
396,1
398,1
399,1
400,1
402,1
406,1
407,1
410,1
412,1
420,1
424,1
425,1
426,1
431,1
433,0
435,1
436,1
438,1
441,1
442,1
444,1
445,1
446,1
447,1
448,1
450,1
451,1
454,1
458,1
459,1
460,1
461,0
463,1
464,1
466,1
467,1
469,1
471,1
474,1
480,1
482,1
484,1
486,1
490,1
491,1
493,0
496,1
500,1
501,1
509,1
511,1
512,1
514,1
515,1
516,1
517,1
518,1
520,1
522,1
523,1
525,1
526,1
530,1
532,1
533,0
534,1
535,0
536,1
541,1
543,1
545,1
546,1
547,1
548,1
550,1
553,1
555,1
556,1
562,1
566,1
576,1
579,1
580,1
581,1
582,1
587,1
588,1
590,1
591,0
592,1
598,1
599,1
600,1
602,1
603,1
611,1
612,1
613,1
614,1
616,1
617,1
620,1
621,1
625,1
627,1
629,1
633,1
634,1
636,1
639,1
643,0
644,1
646,1
650,1
654,1
658,1
659,1
662,1
667,1
668,1
673,1
676,1
677,1
682,1
683,1
687,1
689,1
692,1
697,0
699,1
701,1
704,1
705,1
707,1
711,1
712,1
714,1
715,1
717,1
718,1
719,1
721,1
722,1
724,1
725,1
728,1
730,1
731,1
734,1
736,1
738,1
740,1
742,1
744,1
745,1
746,1
749,1
750,1
753,1
756,1
757,1
760,1
761,1
763,1
769,1
773,1
774,1
775,1
777,0
778,1
780,0
781,1
783,1
785,1
789,1
792,1
793,1
796,0
799,1
800,1
803,1
804,0
806,1
809,1
810,1
815,1
818,0
820,1
822,1
824,1
830,1
835,1
837,1
838,0
839,1
840,1
841,1
845,0
850,1
852,1
854,0
858,1
860,1
861,1
862,1
863,1
865,1
868,1
871,1
873,1
875,1
877,1
878,1
882,1
884,0
885,1
887,1
888,0
890,1
891,1
893,1
899,1
900,1
903,1
904,1
906,1
907,1
917,1
919,1
922,1
923,1
924,1
925,1
930,1
933,1
936,0
937,0
938,1
939,1
941,1
942,0
945,1
946,1
950,1
951,1
952,1
953,1
954,1
955,1
956,0
958,1
960,0
962,1
964,1
965,1
966,0
967,1
970,1
971,1
974,1
976,1
978,1
984,1
985,1
987,0
988,1
989,1
991,0
992,1
996,1
997,1
999,0
1000,1
1001,1
1002,1
1008,1
1011,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1028,1
1029,1
1037,1
1040,1
1041,1
1043,1
1044,0
1045,1
1049,1
1050,1
1052,0
1054,1
1056,1
1057,1
1058,1
1066,1
1069,1
1073,1
1074,1
1075,1
1076,1
1077,1
1082,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,0
1091,1
1092,1
1095,1
1096,1
1098,1
1101,1
1107,1
1108,1
1110,1
1112,1
1116,1
1118,1
1124,1
1126,1
1128,1
1129,1
1131,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1149,1
1153,1
1154,1
1158,1
1162,1
1163,0
1167,1
1168,1
1169,1
1170,1
1172,1
1176,1
1177,1
